HP:0000002	abnormality body height
HP:0001999	distortion face
HP:0001999	face funny looking
HP:0001999	face malformation
HP:0001999	abnormal facial shape
HP:0002000	columella hypoplasia
HP:0002000	columella decreased length
HP:0002000	columella short
HP:0002002	depressed philtrum
HP:0002002	deep philtrum
HP:0002002	philtrum prominent
HP:0002002	philtrum pronounced
HP:0002002	depth increased philtrum
HP:0002003	forehead large
HP:0002003	forehead increased size
HP:0002003	forehead hypertrophy
HP:0002003	face frontal increased region size
HP:0002003	forehead hyperplasia
HP:0002006	cleft facial tessier
HP:0002006	clefts facial
HP:0002006	cleft face
HP:0002006	cleft facial
HP:0002007	bossing skull
HP:0002007	frontal protruberance
HP:0002007	bossing frontal
HP:0002009	facies potter
HP:0002010	decreased dimension maxilla transverse
HP:0002010	bones decreased jaw upper width
HP:0002010	insufficiency maxillary transverse
HP:0002010	deficiency maxillary transverse
HP:0002010	hypoplasia maxilla transverse
HP:0002010	maxilla narrow
HP:0002010	bones breadth decreased jaw upper
HP:0002010	bones jaw narrow upper
HP:0002010	decreased maxilla width
HP:0002011	abnormality cns morphological
HP:0002011	central disease nervous system
HP:0002011	abnormality central nervous system
HP:0002011	abnormality central morphological nervous system
HP:0002012	defects gastrointestinal tract
HP:0002012	abdominal abnormality organs
HP:0002013	throwing up
HP:0002013	emesis
HP:0002013	vomiting
HP:0002014	stool watery
HP:0002014	diarrhea
HP:0002014	diarrhoea
HP:0002015	difficulty swallowing
HP:0002015	deglutition disorder
HP:0002015	difficulties swallowing
HP:0002015	poor swallowing
HP:0002015	dysphagia
HP:0002017	nausea vomiting
HP:0002018	nausea
HP:0002019	constipation
HP:0002019	costiveness
HP:0002019	dyschezia
HP:0002020	gastroesophageal reflux
HP:0002020	heartburn
HP:0002020	acid reflux
HP:0002020	esophageal gastro reflux
HP:0002020	acid disease reflux
HP:0002020	gastro oesophageal reflux
HP:0002020	disease gastroesophageal reflux
HP:0002021	hypertrophic infantile pyloric stenosis
HP:0002021	pyloric stenosis
HP:0002021	pylorus stenosis
HP:0002023	absent anus
HP:0002023	anus imperforate
HP:0002023	anal atresia
HP:0002024	intestinal malabsorption
HP:0002024	malabsorption
HP:0002025	anal narrowing opening
HP:0002025	anal stenosis
HP:0002027	abdominal discomfort
HP:0002027	abdominal pain
HP:0002027	stomach upset
HP:0002027	gastro pain
HP:0002027	pain stomach
HP:0002027	gastrointestinal pain
HP:0002028	chronic diarrhea
HP:0002028	diarrhoea recurrent
HP:0002028	diarrhea recurrent
HP:0002028	chronic diarrhoea
HP:0002031	anomaly oesophagus
HP:0002031	abnormality oesophagus structure
HP:0002031	abnormal morphology oesophagus
HP:0002031	anomaly esophagus
HP:0002031	abnormal esophagus morphology
HP:0002031	abnormality esophagus structure
HP:0002032	birth defect develop did not oesophagus part which
HP:0002032	birth defect develop did esophagus not part which
HP:0002032	atresia esophageal
HP:0002033	sucking weakness
HP:0002033	poor sucking
HP:0002033	poor suck
HP:0002034	abnormal morphology rectum
HP:0002034	abnormality rectum
HP:0002034	anomaly rectum
HP:0002035	anus protrudes rectum through
HP:0002035	prolapse rectal
HP:0002035	prolapsed rectal
HP:0002036	hernia hiatus
HP:0002036	hernia hiatal
HP:0002036	hernia stomach
HP:0002037	bowel disease inflammatory
HP:0002037	inflammation intestine large
HP:0002038	avoidance protein
HP:0002039	anorexia
HP:0002040	esophageal varices
HP:0002040	esophageal varix
HP:0002040	enlarged oesophagus vein
HP:0002040	enlarged esophagus vein
HP:0002041	diarrhoea intractable
HP:0002041	diarrhea intractable
HP:0002043	due inflammation narrowing oesophagus scar tissue to
HP:0002043	esophageal stricture
HP:0002043	due esophagus inflammation narrowing scar tissue to
HP:0002044	ellison syndrome zollinger
HP:0002045	abnormally body low temperature
HP:0002045	hypothermia
HP:0002046	fevers heat intolerance to
HP:0002046	heat intolerance
HP:0002047	hyperthermia malignant
HP:0002047	anaesthesia hyperthermia malignant with
HP:0002047	anesthesia hyperthermia malignant with
HP:0002048	atrophy cortical renal
HP:0002049	acidosis proximal tubular
HP:0002049	acidosis proximal renal tubular
HP:0002049	acidosis ii renal tubular type
HP:0002050	macroorchidism postpubertal
HP:0002054	brow face heavy
HP:0002054	heavy ridges supraorbital
HP:0002054	heavy ridge supraorbital
HP:0002055	below curved dimple linear lip lower
HP:0002056	abnormality area between eyebrows
HP:0002056	area between eyebrows malformation
HP:0002056	abnormality glabella
HP:0002056	abnormality glabellar
HP:0002056	area between deformity eyebrows
HP:0002057	glabella hyperplasia
HP:0002057	area between eyebrows prominent
HP:0002057	glabella prominent
HP:0002057	area between eyebrows protruding
HP:0002057	convex glabella
HP:0002058	facies myopathic
HP:0002058	appearance facial myopathic
HP:0002058	face myopathic
HP:0002059	atrophy supratentorial
HP:0002059	atrophy cerebral
HP:0002059	cerebrum degeneration
HP:0002060	abnormal cerebral morphology
HP:0002060	abnormality telencephalon
HP:0002060	cerebral lesion
HP:0002060	abnormality cerebrum
HP:0002061	limb lower spasticity
HP:0002062	disease pyramidal tract
HP:0002062	abnormality morphological pyramidal tract
HP:0002062	abnormality pyramidal tracts
HP:0002063	rigidity
HP:0002063	muscle rigidity
HP:0002064	gait spastic
HP:0002064	spastic walk
HP:0002066	ataxic gait
HP:0002066	ataxia gait
HP:0002066	coordinate inability movements to walking when
HP:0002067	movements slowness
HP:0002067	bradykinesia
HP:0002067	movements slow
HP:0002068	dysphagia neuromuscular
HP:0002069	clonic generalised onset seizure specification tonic without
HP:0002069	grand mal
HP:0002069	clonic convulsion tonic
HP:0002069	clonic generalized onset seizure specification tonic without
HP:0002069	clonic convulsions tonic
HP:0002069	bilateral clonic seizure tonic
HP:0002069	convulsion generalised
HP:0002069	grand mal seizures
HP:0002069	convulsion generalized
HP:0002069	bilateral convulsive seizures
HP:0002069	clonic seizures tonic
HP:0002070	ataxia limb
HP:0002070	appendicular ataxia
HP:0002071	abnormality extrapyramidal function motor
HP:0002071	extrapyramidal signs tract
HP:0002071	dysfunction extrapyramidal
HP:0002071	extrapyramidal signs
HP:0002071	extrapyramidal syndrome
HP:0002071	extrapyramidal symptoms
HP:0002072	choreatic disease
HP:0002072	choreic movements
HP:0002072	choreiform movements
HP:0002072	chorea
HP:0002073	ataxia cerebellar progressive
HP:0002073	ataxia progressive
HP:0002074	lipopigments neuronal
HP:0002074	autofluorescent increased lipopigment neuronal
HP:0002075	dysdiadochokinesis
HP:0002075	dysdiadochokinesia
HP:0002075	alternating difficulty movements performing quick
HP:0002076	headaches intermittent migraine
HP:0002076	migraine
HP:0002076	headache migraine
HP:0002076	headaches migraine
HP:0002077	aura migraine with
HP:0002078	central coordination instability lack muscles or trunk
HP:0002078	ataxia trunk
HP:0002078	ataxia truncal
HP:0002079	callosum corpus hypoplasia
HP:0002079	brain called callosum corpus part underdevelopment
HP:0002079	callosum corpus hypoplastic
HP:0002080	cerebellar tremor
HP:0002080	intention tremor
HP:0002080	terminal tremor
HP:0002083	aura migraine without
HP:0002084	bifid skull
HP:0002084	bifidum cranium
HP:0002084	encephalocele
HP:0002085	encephalocele occipital
HP:0002085	meningoencephalocele occipital
HP:0002085	back brain out skull sticks through tissue
HP:0002085	encephalocele posterior
HP:0002086	abnormality respiratory
HP:0002086	abnormality respiratory system
HP:0002087	abnormality respiratory tract upper
HP:0002087	issues respiratory tract upper
HP:0002088	abnormality lungs
HP:0002088	disease lung
HP:0002088	abnormality lung structure
HP:0002088	abnormally lung shaped
HP:0002088	abnormal lung morphology
HP:0002088	lung shape unusal
HP:0002089	developed lungs poorly
HP:0002089	hypoplasia lung
HP:0002089	hypoplastic lungs
HP:0002089	hypoplastic lung
HP:0002089	lung underdeveloped
HP:0002089	lung small
HP:0002089	hypoplasia pulmonary
HP:0002090	pneumonia
HP:0002091	deficit function on pulmonary restrictive testing
HP:0002091	causing chest decreased lung or stiff volume wall
HP:0002091	deficit function on pulmonary restrictive tests
HP:0002091	restriction spirometric
HP:0002091	disease lung restrictive
HP:0002091	respiratory restrictive syndrome
HP:0002091	insufficiency respiratory restrictive
HP:0002091	defect restrictive ventilatory
HP:0002091	disease respiratory restrictive
HP:0002092	artery hypertension pulmonary
HP:0002092	hypertension primary pulmonary
HP:0002092	arterial hypertension pulmonary
HP:0002092	blood increased lungs pressure vessels
HP:0002093	function loss respiratory
HP:0002093	insufficiency respiratory
HP:0002093	impairment respiratory
HP:0002094	breathing difficulty
HP:0002094	panting
HP:0002094	abnormal breathing
HP:0002094	breath shortness
HP:0002094	breathe difficult to
HP:0002094	breathing trouble
HP:0002094	dyspnea
HP:0002094	dyspnoea
HP:0002097	emphysema
HP:0002097	emphysema pulmonary
HP:0002098	distress respiratory
HP:0002098	difficulties respiratory
HP:0002098	breathing labored
HP:0002098	breathing difficulties
HP:0002099	asthma bronchial
HP:0002099	airway disease reactive
HP:0002099	asthma
HP:0002100	aspiration due pneumonia recurrent to
HP:0002100	aspiration pneumonia recurrent
HP:0002101	abnormal lobation lung
HP:0002101	defects lung segmentation
HP:0002101	defective lobation lung
HP:0002102	pleuritis
HP:0002102	chest inflammation lining lungs tissues
HP:0002102	pleurisy
HP:0002103	abnormal morphology pleura
HP:0002103	abnormality pleura
HP:0002104	apnoea
HP:0002104	apneic episodes
HP:0002104	apnea
HP:0002104	absence respiration spontaneous
HP:0002105	haemoptysis
HP:0002105	blood coughing mucus or stained up
HP:0002105	hemoptysis
HP:0002105	blood coughing up
HP:0002107	pneumothorax
HP:0002107	collapsed lung
HP:0002108	pneumothorax spontaneous
HP:0002108	collapsed lung spontaneous
HP:0002110	airways enlargement lungs permanent
HP:0002110	bronchiectasis
HP:0002113	infiltrates pulmonary
HP:0002113	infiltration pulmonic
HP:0002113	infiltrates lung
HP:0002118	abnormality cerebral ventricles
HP:0002118	abnormal cerebral morphology ventricle
HP:0002119	enlarged system ventricular
HP:0002119	cerebral dilatation ventricular
HP:0002119	cerebral cisternae large ventricles
HP:0002119	ventriculomegaly
HP:0002119	cerebral dilated ventricle
HP:0002119	dilated ventricles
HP:0002119	cerebral dilated ventricles
HP:0002119	cerebral enlarged ventricles
HP:0002119	enlarged ventricles
HP:0002119	dilatation ventricular
HP:0002120	atrophy cerebral cortical
HP:0002120	atrophy cerebral cortex
HP:0002120	brain cells decrease due layer loss outer size to
HP:0002120	atrophy cortical
HP:0002121	absence seizures
HP:0002121	brief seizures spells staring with
HP:0002121	mal petit seizure
HP:0002121	mal petit seizures
HP:0002121	absence generalized motor non seizure
HP:0002121	absence seizure
HP:0002121	generalised motor non seizure
HP:0002121	mal petit
HP:0002121	absence generalised motor non seizure
HP:0002123	generalized myoclonic seizure
HP:0002123	generalised myoclonic seizure
HP:0002123	epileptic generalised myoclonus
HP:0002123	myoclonus seizures
HP:0002123	epilepsy myoclonic progressive
HP:0002123	epileptic generalized myoclonus
HP:0002123	generalised myoclonic seizures
HP:0002123	generalized myoclonic seizures
HP:0002126	polymicrogyria
HP:0002126	brain grooves more
HP:0002127	abnormal motor neuron shape upper
HP:0002127	abnormal morphology motor neuron upper
HP:0002131	ataxia cerebellar intermittent
HP:0002131	ataxia episodic
HP:0002131	ataxia paroxysmal
HP:0002132	cyst porencephalic
HP:0002132	brain cavity within
HP:0002133	epilepticus status
HP:0002133	recovery repeated seizure without
HP:0002133	prolonged seizure
HP:0002133	between recovery repeated seizures them without
HP:0002134	abnormality basal ganglia
HP:0002134	abnormal basal ganglia morphology
HP:0002134	basal disease ganglia
HP:0002134	anomaly basal ganglia
HP:0002135	basal calcification ganglion
HP:0002135	basal calcifications ganglia
HP:0002135	basal calcification ganglia
HP:0002136	based walk wide
HP:0002136	based broad gait
HP:0002136	based gait wide
HP:0002138	haemorrhage subarachnoid
HP:0002138	hemorrhage subarachnoid
HP:0002139	arrhinencephaly
HP:0002140	ischemic stroke
HP:0002140	ischaemic stroke
HP:0002141	abnormality equilibrium
HP:0002141	abnormality balance
HP:0002141	imbalanced walk
HP:0002141	gait imbalance
HP:0002143	cord disease spinal
HP:0002143	cord pathology spinal
HP:0002143	abnormality cord spinal
HP:0002144	dysraphism occult spinal
HP:0002144	cord tethered
HP:0002145	dementia frontotemporal
HP:0002148	blood level low phosphate
HP:0002148	hypophosphatemia
HP:0002148	hypophosphataemia
HP:0002149	acid blood high level uric
HP:0002149	hyperuricemia
HP:0002149	hyperuricaemia
HP:0002150	calcium elevated levels urine
HP:0002150	hypercalciuria
HP:0002150	hypercalcinuria
HP:0002151	blood increased lactate
HP:0002151	blood higher lactate levels normal than
HP:0002151	increased lactate serum
HP:0002152	hyperproteinemia
HP:0002153	hyperkalemia
HP:0002153	elevated levels potassium serum
HP:0002154	blood elevated glycine levels
HP:0002154	hyperglycinemia
HP:0002154	hyperglycinaemia
HP:0002155	increased triglycerides
HP:0002155	increased levels plasma tg
HP:0002155	hypertriglyceridemia
HP:0002155	circulating increased levels tg
HP:0002155	increased plasma triglycerides
HP:0002155	increased serum triglycerides
HP:0002156	homocystinuria
HP:0002156	high homocystine levels urine
HP:0002157	azotemia
HP:0002157	azotaemia
HP:0002159	excretion heparan sulfate urine
HP:0002159	excretion heparan sulphate urine
HP:0002160	homocystinemia
HP:0002160	blood elevated homocystine
HP:0002160	hyperhomocystinemia
HP:0002161	hyperlysinemia
HP:0002161	blood elevated lysine
HP:0002162	hairline low posterior
HP:0002162	at back hairline low neck
HP:0002162	hair line low posterior
HP:0002164	dysplasia nail
HP:0002164	atypical growth nail
HP:0002164	onychodysplasia
HP:0002164	dysplastic nails
HP:0002165	nail pterygium
HP:0002165	nails pterygium
HP:0002166	decreased limbs lower sense vibratory
HP:0002166	distal impairment limbs lower vibratory
HP:0002166	decreased extremities lower sense vibratory
HP:0002166	diminished legs sensation vibratory
HP:0002166	impaired limbs lower sensation vibration
HP:0002166	distal especially loss sense sensory vibratory
HP:0002166	decreased limb lower sense vibratory
HP:0002167	disorder speech
HP:0002167	impairment neurological speech
HP:0002167	impairment speech
HP:0002167	impediment speech
HP:0002168	scanning speech
HP:0002168	explosive speech
HP:0002169	contractions involuntary muscular relaxations rhythmic
HP:0002169	clonus
HP:0002170	haemorrhage intracranial
HP:0002170	bleeding skull within
HP:0002170	hemorrhage intracranial
HP:0002171	cerebral gliosis
HP:0002171	gliosis
HP:0002171	astrocytes brain excess
HP:0002172	imbalance
HP:0002172	abnormal retropulsion test
HP:0002172	instability postural
HP:0002172	balance impairment
HP:0002173	hypoglycemic seizures
HP:0002174	postural tremor
HP:0002176	compression cord spinal
HP:0002176	cord on pressure spinal
HP:0002179	opisthotonus
HP:0002179	opisthotonos
HP:0002180	neurodegeneration
HP:0002180	disorder neurodegenerative progressive
HP:0002180	cells loss nerve ongoing
HP:0002180	degenerative disease neuro
HP:0002180	disease neurodegenerative
HP:0002181	cerebral oedema
HP:0002181	cerebral edema
HP:0002181	brain swelling
HP:0002181	brain oedema
HP:0002181	brain edema
HP:0002183	phonophobia
HP:0002183	fear loud sounds
HP:0002185	composed disordered microtubules neurofibrillary neurons tangles
HP:0002185	filaments helical paired
HP:0002185	neurofibrillary tangles
HP:0002186	apraxias
HP:0002186	apraxia
HP:0002187	20 iq less than
HP:0002187	disability intellectual profound
HP:0002187	mental profound retardation
HP:0002188	cns delayed myelination
HP:0002188	central delay myelination nervous system
HP:0002190	choroid cyst plexus
HP:0002191	progressive spasticity
HP:0002193	behavioral pseudobulbar symptoms
HP:0002193	behavioural pseudobulbar symptoms
HP:0002194	delayed motor skills
HP:0002194	delay developmental gross motor
HP:0002194	development gross limited motor
HP:0002194	delayed gross motor skills
HP:0002194	delay gross motor
HP:0002194	delayed development gross motor
HP:0002195	cerebellar dysgenesis vermis
HP:0002196	myelopathy
HP:0002197	generalized onset seizure
HP:0002197	generalised onset seizure
HP:0002197	generalised primary seizure
HP:0002197	generalized seizures
HP:0002197	generalized primary seizure
HP:0002197	generalised seizures
HP:0002197	generalized onset seizures
HP:0002198	dilated fourth ventricle
HP:0002198	enlarged fourth ventricle
HP:0002199	due hypocalcemia seizures to
HP:0002199	calcium low seizures
HP:0002199	hypocalcemic seizures
HP:0002200	pseudobulbar symptoms
HP:0002200	pseudobulbar signs
HP:0002202	effusion pleural
HP:0002202	around fluid lungs
HP:0002203	paralysis respiratory
HP:0002204	embolism pulmonary
HP:0002204	artery blood clot lung
HP:0002205	infections multiple respiratory
HP:0002205	infections recurrent respiratory
HP:0002205	frequent infections respiratory
HP:0002205	infections respiratory susceptibility to
HP:0002206	fibrosis pulmonary
HP:0002207	diffuse finely infiltrations nodular or reticular
HP:0002208	coarse hair texture
HP:0002208	coarse hair
HP:0002208	hair rough texture
HP:0002209	amount hair reduced scalp
HP:0002209	hair scalp thinning
HP:0002209	follicles number reduction scalp
HP:0002209	hair scalp sparse
HP:0002209	hair scalp thin
HP:0002209	hypotrichosis on scalp
HP:0002209	decreased follicles number scalp
HP:0002209	hair lack on reduced scalp
HP:0002209	hypotrichosis scalp
HP:0002211	forelock hair poliosis
HP:0002211	forelock white
HP:0002211	anterior hair poliosis
HP:0002211	above forehead hair part white
HP:0002212	curly hair
HP:0002213	fine hair
HP:0002213	hair shaft thin
HP:0002213	fine hair texture
HP:0002213	hair thinned
HP:0002213	fine hair shaft
HP:0002213	hair thin
HP:0002213	hair texture thin
HP:0002215	armpit hair limited
HP:0002215	axillary hair sparse
HP:0002215	axillary hair pubic sparse
HP:0002215	hair little underarm
HP:0002215	axillary hair pubic scalp sparse
HP:0002215	absent axillary hair sparse to
HP:0002216	graying premature
HP:0002216	early greying
HP:0002216	greying hair premature
HP:0002216	early graying
HP:0002216	graying hair premature
HP:0002216	greying premature
HP:0002217	growing hair slow
HP:0002217	growth hair slow speed
HP:0002217	growth hair rate slow
HP:0002218	gray hair silvery
HP:0002218	gray hair silver
HP:0002218	colour gray hair silver
HP:0002218	color gray hair silver
HP:0002219	facial hypertrichosis
HP:0002219	facial growth hair increased
HP:0002220	aggregation hair melanin pigment shafts
HP:0002221	absent axillary hair
HP:0002223	absent eyebrows
HP:0002223	development eyebrows failure
HP:0002223	eyebrows loss
HP:0002223	eyebrows missing
HP:0002223	agenesis eyebrows
HP:0002223	absent eyebrow
HP:0002223	aplasia eyebrows
HP:0002224	hair kinky texture
HP:0002224	hair wooly
HP:0002224	hair woolly
HP:0002224	afro hair textured
HP:0002224	hair nappy texture
HP:0002224	hair kinked
HP:0002225	decreased hair sexual
HP:0002225	absent hair pubic sparse to
HP:0002225	hair pubic sparse
HP:0002226	eyebrow hypopigmented
HP:0002226	depigmented eyebrow
HP:0002226	eyebrow pale
HP:0002226	blonde eyebrow
HP:0002226	eyebrow white
HP:0002226	eyebrow grey
HP:0002227	eyelashes white
HP:0002227	eyelashes grey
HP:0002227	eyelashes pale
HP:0002227	blonde eyelashes
HP:0002227	depigmented eyelashes
HP:0002230	generalised hirsutism
HP:0002230	body excessive hairiness over
HP:0002230	generalized hirsutism
HP:0002231	absent body hair sparse to
HP:0002231	body hair little
HP:0002231	body hair limited
HP:0002231	body hair sparse
HP:0002232	baldness patchy
HP:0002232	alopecia patchy
HP:0002232	alopecia areata
HP:0002234	balding early
HP:0002235	canaliculi pili
HP:0002236	frontal hair upswept
HP:0002236	cowlick frontal
HP:0002236	cowlick
HP:0002236	frontal hairline upswept
HP:0002236	frontal hair pattern upswept
HP:0002236	frontal hair upsweep
HP:0002239	gastrointestinal hemorrhage
HP:0002239	bleeding gastrointestinal
HP:0002239	gi hemorrhage
HP:0002239	gastrointestinal haemorrhage
HP:0002239	gi haemorrhage
HP:0002240	enlarged liver
HP:0002240	hepatomegaly
HP:0002242	abnormality intestine
HP:0002242	abnormal intestine morphology
HP:0002242	enteropathy
HP:0002243	enteropathy losing protein
HP:0002244	abnormality intestine small
HP:0002245	diverticulum meckel
HP:0002246	abnormal duodenum morphology
HP:0002246	abnormality duodenum
HP:0002247	atresia duodenal
HP:0002247	absence bowel first narrowing or part small
HP:0002248	blood vomitting
HP:0002248	hematemesis
HP:0002249	black feces
HP:0002249	black faeces
HP:0002249	melena
HP:0002250	abnormal intestine large morphology
HP:0002250	abnormality intestine large
HP:0002251	megacolon
HP:0002251	aganglionic megacolon
HP:0002251	hirschsprung megacolon
HP:0002251	cells colon enlarged lacking nerve
HP:0002251	disease hirschsprung
HP:0002253	colon diverticula
HP:0002253	colonic diverticula
HP:0002253	colonic diverticulosis
HP:0002254	diarrhea intermittent
HP:0002254	diarrhea episodic
HP:0002254	diarrhoea episodic
HP:0002254	diarrhoea intermittent
HP:0002256	bowel diverticula small
HP:0002257	chronic rhinitis
HP:0002263	accentuated bow cupid s
HP:0002263	bow cupid lip upper
HP:0002263	bow cupid exaggerated s
HP:0002263	bow cupid lip prominent upper
HP:0002263	bow cupid lip shaped upper
HP:0002265	ears fleshy large
HP:0002266	clonic focal seizure
HP:0002266	clonic focal seizures
HP:0002266	clonic partial seizure
HP:0002266	clonic localized seizure
HP:0002266	clonic localised seizure
HP:0002266	clonic segmental seizure
HP:0002267	exaggerated response startle
HP:0002267	increased response startle
HP:0002267	hyperekplexia
HP:0002267	acoustic exaggerated response startle
HP:0002268	dystonia paroxysmal
HP:0002268	dystonia episodic
HP:0002269	abnormal heterotopias migration
HP:0002269	disorder migration neuronal
HP:0002269	brain disorder migrational
HP:0002269	abnormality migration neuronal
HP:0002269	abnormal migration neuronal
HP:0002270	abnormality autonomic nervous system
HP:0002273	tetraparesis
HP:0002273	quadriparesis
HP:0002275	coordination motor poor
HP:0002277	horner syndrome
HP:0002277	horner s syndrome
HP:0002277	oculosympathetic palsy
HP:0002280	cisterna large magna
HP:0002280	cisterna enlarged magna
HP:0002280	cisterna magna mega
HP:0002282	gray heterotopias matter
HP:0002282	grey heterotopias matter
HP:0002282	heterotopia
HP:0002282	grey heterotopia matter
HP:0002282	gray heterotopia matter
HP:0002282	heterotopias
HP:0002282	heterotopia neuronal
HP:0002283	atrophy brain diffuse
HP:0002283	atrophy cerebral generalized
HP:0002283	brain degeneration generalized
HP:0002283	atrophy cerebral generalised
HP:0002283	atrophy brain generalized
HP:0002283	atrophy brain global
HP:0002283	brain degeneration generalised
HP:0002283	atrophy brain generalised
HP:0002286	color flaxen hair
HP:0002286	color hair towhead
HP:0002286	coloured hair light
HP:0002286	colour fair hair
HP:0002286	blond hair
HP:0002286	colored hair light
HP:0002286	colour flaxen hair
HP:0002286	colour hair sandy
HP:0002286	colored hair straw
HP:0002286	color fair hair
HP:0002286	fair hair
HP:0002286	coloured hair straw
HP:0002286	color hair sandy
HP:0002287	alopecia progressive
HP:0002289	alopecia universalis
HP:0002289	alopecia complete
HP:0002289	alopecia universal
HP:0002290	poliosis
HP:0002290	hair patch white
HP:0002290	patch white
HP:0002292	baldness male pattern
HP:0002292	balding frontal
HP:0002293	absence hair scalp
HP:0002293	baldness
HP:0002293	hair missing scalp
HP:0002293	alopecia scalp
HP:0002293	from hair loss pathologic scalp
HP:0002293	hair loss scalp
HP:0002296	hypotrichosis progressive
HP:0002297	hair red
HP:0002297	color hair head red
HP:0002297	colour hair red
HP:0002297	color ginger hair
HP:0002297	color hair red
HP:0002297	colour ginger hair
HP:0002298	absent hair
HP:0002299	hair reduced strength tensile
HP:0002299	fragile hair
HP:0002299	breakable easily hair
HP:0002299	fractured hair
HP:0002299	brittle hair
HP:0002300	muteness
HP:0002300	mutism
HP:0002300	inability speak to
HP:0002301	body on one paralysis side
HP:0002301	hemiplegia
HP:0002304	akinesia
HP:0002305	feet fingers hands involuntary movements toes writhing
HP:0002305	involuntary movements writhing
HP:0002305	athetosis
HP:0002305	athetoid movements
HP:0002307	dribbling
HP:0002307	drooling
HP:0002307	sialorrhea
HP:0002308	chiari malformation
HP:0002308	arnold chiari malformation
HP:0002310	dyskinesia orofacial
HP:0002310	dyskinesias orofacial
HP:0002311	incoordination limb
HP:0002311	incoordination limb movements
HP:0002311	coordination difficulties
HP:0002311	incoordination
HP:0002312	clumsiness
HP:0002313	paraparesis spastic
HP:0002314	corticospinal degeneration lateral tracts
HP:0002315	headaches
HP:0002315	headache
HP:0002317	unsteady walk
HP:0002317	gait unsteady
HP:0002317	gait instability
HP:0002318	cervical myelopathy
HP:0002321	dizziness
HP:0002321	vertigo
HP:0002321	dizzy spell
HP:0002322	parkinsonian tremor
HP:0002322	resting tremor
HP:0002322	rest tremor
HP:0002322	at rest tremor
HP:0002323	anencephaly
HP:0002323	anencephaly foetal
HP:0002323	anencephaly embryonic
HP:0002323	anencephaly fetal
HP:0002324	hydrancephaly
HP:0002324	hydranencephaly
HP:0002326	mini stroke
HP:0002326	attacks ischaemic transient
HP:0002326	attacks ischemic transient
HP:0002326	attack ischemic transient
HP:0002326	attack ischaemic transient
HP:0002329	drowsiness
HP:0002329	sleepy
HP:0002330	drowsiness paroxysmal
HP:0002331	headache paroxysmal recurrent
HP:0002332	lack peer relationships
HP:0002333	degeneration movement progressive
HP:0002333	deterioration motor
HP:0002334	abnormal cerebellar morphology vermis
HP:0002334	abnormality cerebellar vermis
HP:0002335	aplasia cerebellar vermis
HP:0002335	agenesis cerebellar vermis
HP:0002335	agenesis vermian
HP:0002339	abnormal caudate morphology nucleus
HP:0002339	abnormality caudate nucleus
HP:0002340	caudate degeneration
HP:0002340	atrophy caudate
HP:0002341	cervical compression cord myelopathy
HP:0002341	cervical compression cord
HP:0002342	mental moderate retardation
HP:0002342	deficiency mental moderate
HP:0002342	34 49 between iq
HP:0002342	disability intellectual moderate
HP:0002343	hydrocephalus normal pressure
HP:0002344	deterioration mental progressive
HP:0002344	deterioration neurologic
HP:0002344	neurodegeneration progressive
HP:0002344	deterioration neurologic progressive
HP:0002344	neurological symptoms worsening
HP:0002345	ataxic tremor
HP:0002345	action tremor
HP:0002346	head tremor
HP:0002349	awareness focal impairment seizure without
HP:0002349	awareness partial retained seizure with
HP:0002349	awareness focal retained seizure with
HP:0002349	partial seizures simple
HP:0002349	awareness impairment partial seizure without
HP:0002349	awareness consciousness focal impairment or seizure without
HP:0002349	awareness consciousness focal impairment or seizures without
HP:0002349	partial seizure simple
HP:0002349	aware focal seizures
HP:0002349	aware focal seizure
HP:0002350	cerebellar cyst
HP:0002350	cerebellar cysts
HP:0002352	leukoencephalopathy
HP:0002353	abnormal electroencephalogram
HP:0002353	abnormalities electroencephalogram
HP:0002353	abnormality eeg
HP:0002353	abnormalities eeg
HP:0002353	abnormal eeg
HP:0002354	memory poor
HP:0002354	loss memory
HP:0002354	forgetfulness
HP:0002354	impairment memory
HP:0002354	memory problems
HP:0002355	disability walking
HP:0002355	difficulty walking
HP:0002356	cramp s writer
HP:0002359	falls frequent
HP:0002360	disturbance sleep
HP:0002360	dysfunction sleep
HP:0002360	difficulty sleeping
HP:0002360	sleeping trouble
HP:0002360	disturbances sleep
HP:0002361	deterioration psychomotor
HP:0002361	degeneration psychomotor
HP:0002362	shuffled walk
HP:0002362	gait shuffling
HP:0002363	abnormality brainstem
HP:0002363	abnormality brainstem morphology
HP:0002363	abnormal brainstem shape
HP:0002363	abnormal brainstem morphology
HP:0002365	brainstem hypoplastic
HP:0002365	brainstem small
HP:0002365	brain hypoplastic stem
HP:0002365	brainstem underdeveloped
HP:0002365	brainstem hypoplasia
HP:0002366	abnormal lower morphology motor neuron
HP:0002366	lower manifestations motor neuron
HP:0002366	lower motor neuron signs
HP:0002366	disease lower motor neuron
HP:0002367	hallucinations visual
HP:0002370	coordination poor
HP:0002371	loss speech
HP:0002372	eeg interictal normal
HP:0002373	associated fever generalized seizures with
HP:0002373	3 6 age febrile months range seizure to within years
HP:0002373	convulsion febrile
HP:0002373	febrile seizures
HP:0002373	childhood early febrile seizures
HP:0002373	fever induced seizures
HP:0002374	diminished movement
HP:0002375	hypokinesia
HP:0002375	decreased movements spontaneous
HP:0002375	decreased movement spontaneous
HP:0002375	decreased movement muscle
